consonant	placement	bothan	human	moncal	rodian	trandoshan	twilek	wookiee	zabrak	ithorian	sullustan	aqualish	nightsister	togruta	bith	nikto	marauder	chiss	nautolan	klaatu	ishitib	weequay	arcona	devaronian
j	bme	10	10	10	10	0	10	1	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
jj	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
k	bme	100	100	100	100	0	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
kh	bm	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
kk	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
kl	bm	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
kr	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
kt	me	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
l	bm	100	100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
lc	me	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
lch	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
ld	me	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
lf	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
lk	me	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
ll	bme	10	10	10	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
lm	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
lp	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
lph	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
lv	me	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
m	bme	100	100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
mm	me	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
mn	bme	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
n	bme	100	100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ng	e	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
nn	e	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
nt	e	10	10	1	10	0	10	1	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10
p	bme	100	100	100	100	10	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
pf	bm	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
ph	bm	2	2	1	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
pl	bm	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
pp	me	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
pr	bm	10	10	1	10	0	10	11	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
pt	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
q	me	5	5	0	5	0	5	10	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
qu	bm	5	5	0	5	0	5	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
r	bme	100	100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
rb	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rc	me	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
rck	me	2	2	0	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
rch	me	2	2	0	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
rcht	me	2	2	0	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
rd	me	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
rf	me	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
rg	me	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
rh	bm	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
rj	me	2	2	0	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rk	me	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
rl	me	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
rrl	me	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rm	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rn	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rp	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rq	me	2	2	0	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rr	me	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
rt	me	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rv	me	2	2	0	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rx	me	2	2	0	2	10	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
rz	me	2	2	0	2	10	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
s	bme	100	100	100	100	10	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
sc	bme	5	5	1	5	10	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
sch	bm	2	2	0	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
schl	bm	2	2	0	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
sh	bme	10	10	1	10	10	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
sk	bme	10	10	1	10	10	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
sl	bm	10	10	1	10	10	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
sm	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
sn	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
sp	bme	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
sq	me	2	2	0	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
squ	bm	2	2	0	2	0	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
sr	bm	30	30	1	30	10	30	1	2	2	2	2	30	30	30	30	30	30	30	30	30	30	30	30
ss	bme	10	10	1	10	10	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
ssk	me	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
st	bme	30	30	1	30	10	30	1	10	10	10	10	30	30	30	30	30	30	30	30	30	30	30	30
sv	bm	2	2	1	2	10	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sw	bme	2	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sx	me	2	2	0	2	10	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
t	bme	100	100	100	100	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
tch	me	5	5	0	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
th	bme	30	30	1	30	0	30	1	2	2	2	2	30	30	30	30	30	30	30	30	30	30	30	30
thm	me	5	5	0	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
tr	bm	10	10	1	10	10	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
ts	bme	2	2	1	2	10	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
tt	me	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
tw	bm	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
tz	bm	2	2	0	2	10	2	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2
v	bme	100	100	100	100	10	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
vv	me	5	5	1	5	0	5	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5
w	bme	100	100	100	100	10	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
wh	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
wr	bm	10	10	1	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
ww	me	5	5	1	5	0	5	1	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
x	bme	10	10	10	10	10	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
xx	me	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
y	bme	10	10	0	10	0	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
z	bme	10	10	0	10	10	10	1	2	2	2	2	10	10	10	10	10	10	10	10	10	10	10	10
zz	me	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
