item	token34	limit	note
object/tangible/veteran_reward/one_year_anniversary/painting_06.iff	3	1	Hutt Greed
object/tangible/veteran_reward/frn_vet_holo_imperial_guard.iff	15		Imperial Guard Hologram
object/tangible/veteran_reward/one_year_anniversary/painting_08.iff	3	1	Imperial Oppression
object/tangible/veteran_reward/frn_vet_rug_imperial.iff	18		Imperial Rug
object/tangible/veteran_reward/frn_vet_holo_jawa.iff	33		Jawa Hologram
object/tangible/veteran_reward/frn_vet_holo_sandcrawler.iff	21		Jawa Sandcrawler Hologram
object/tangible/veteran_reward/frn_vet_holo_yoda.iff	30		Jedi Master Yoda Hologram
object/tangible/veteran_reward/frn_vet_holo_starfighter.iff	21		Jedi Starfigher Hologram
item_vet_66_month_jedi_temple	66		Life - Jedi Temple Miniature
object/tangible/veteran_reward/frn_vet_holo_luke_skywalker.iff	42		Luke Skywalker Hologram
item_vet_reward_72month_mace_windu	72		Mace Windu Statue
object/tangible/veteran_reward/harvester.iff	15		Make A Harvester Self Powered
object/tangible/veteran_reward/frn_tech_console_sectional_d.iff	12		Main Systems Databank
object/tangible/veteran_reward/frn_vet_atat_toy.iff	36		Miniature AT-AT Replica
object/tangible/veteran_reward/frn_vet_boba_toy.iff	36		Miniature Boba Fett Figurine
object/tangible/veteran_reward/frn_vet_cu_pa_toy.iff	15		Miniature Cu-pa Replica
object/tangible/veteran_reward/frn_vet_dewback_toy.iff	27		Miniature Dewback Replica
object/tangible/veteran_reward/frn_vet_jabba_toy.iff	12		Miniature Jabba the Hutt Replica
object/tangible/veteran_reward/frn_vet_protocol_droid_toy.iff	3		Minature Protocol Droid Replica
object/tangible/veteran_reward/frn_vet_r2_toy.iff	3		Miniature R2 Droid Replica
object/tangible/veteran_reward/frn_vet_rancor_toy.iff	33		Miniature Rancor Replica
object/tangible/veteran_reward/frn_vet_salacious_crumb_toy.iff	45		Miniature Salacious Crumb Replica
object/tangible/veteran_reward/frn_vet_stormtrooper_toy.iff	12		Minature Stormtrooper Replica
object/tangible/veteran_reward/frn_vet_tie_fighter_toy.iff	6		Miniature TIE Fighter Replica
object/tangible/veteran_reward/frn_vet_x_wing_toy.iff	6		Miniature X-wing Replica
object/tangible/veteran_reward/frn_vet_tusken_raider_toy.iff	45		Miniature Tusken Raider Replica
object/tangible/veteran_reward/vr_mouse_droid_deed.iff	48		Mouse Droid Familiar
object/tangible/veteran_reward/vr_mynock_deed.iff	48		Mynock Familiar
item_vet_reward_lockout_remover	81		Neural Recon Network Terminal
st_cn_vet_reward_nightsister_boss	57		Nightsister Bloodwitch Storyteller Token
object/tangible/veteran_reward/frn_vet_podracer_statue.iff	54		Podracer Statue
object/tangible/veteran_reward/frn_vet_holo_leia.iff	27		Princess Leia Hologram
st_cn_vet_reward_rebel_commando_boss	54		Rebel Commando Vindicator Storyteller Token
object/tangible/veteran_reward/frn_vet_rug_rebel.iff	18		Rebel Rug
object/tangible/veteran_reward/frn_yoda_fountain.iff	63		Remembrance Day Yoda Fountain
item_vet_reward_resource_fabricator	75		Resource Fabricator
item_vet_reward_resource_generator	50		Resource Supply Generator
vet_reward_respec_reset	174		Respec Reset Device
item_vet_reward_sd_console_01	84		Star Destroyer Console Row
item_vet_reward_sd_console_02	84		Star Destroyer System Console
st_cn_vet_reward_stormtrooper_boss	54		Stormtrooper Veteran Storyteller Token
st_cn_vet_reward_super_battle_droid_boss	54		Super Battle Droid Storyteller Token
object/tangible/veteran_reward/frn_tech_console_sectional_b.iff	12		System Readout Terminal
st_cn_vet_reward_tusken_boss	57		Tusken Raider Dreadlord Storyteller Token
object/tangible/veteran_reward/one_year_anniversary/painting_03.iff	3	1	Tatooine Dune Speeder
object/tangible/veteran_reward/frn_vet_carbonite_ugnaught.iff	51		Ugnaught in Carbonite
object/tangible/veteran_reward/frn_couch_falcon_section_s01.iff	6		YT-1300 Modular Seating
object/tangible/veteran_reward/frn_couch_falcon_corner_s01.iff	6		YT-1300 Passenger Lounge
